event_id,kind,domain,recording_id,start_ns,end_ns,peak_ns,duration_s,route_progress_m,osm_way_id,road_class,detail_approach_distance_m,detail_closest_distance_m,detail_mean_curvature_1_per_m,detail_max_curvature_1_per_m,detail_length_m,detail_previous_class,detail_new_class,detail_duration_s
car_straight_009,straight,car,car_2e84f0c3e245,1371118218837,1389118225087,1380118221962,18.00000625,2357.404971340427,137735208,unclassified,,,1.7357681346948655e-05,1.7357681346948655e-05,,,,
car_junction_approach_010,junction_approach,car,car_2e84f0c3e245,1385118223680,1391118225764,1385118223680,6.000002084,2410.9979080156095,137735208,unclassified,29.37432913947823,,,,,,,
car_junction_crossing_010,junction_crossing,car,car_2e84f0c3e245,1385118223680,1406118230972,1392118226128,21.000007292,2455.994980618906,137735210,unclassified,,0.0,,,,,,
car_road_class_change_002,road_class_change,car,car_2e84f0c3e245,1392118226128,1394118226805,1394118226805,2.000000677,2529.058296138115,1265232969,tertiary,,,,,,unclassified,tertiary,
car_roundabout_entry_005,roundabout_entry,car,car_2e84f0c3e245,1394118226805,1394118226805,1394118226805,0.0,2529.058296138115,1265232969,tertiary,,,,,,,,
car_roundabout_traverse_005,roundabout_traverse,car,car_2e84f0c3e245,1394118226805,1399118228524,1397118227847,5.000001719,2536.0649070212744,1265232969,tertiary,,,,,12.403472800920554,,,
car_curve_003,curve,car,car_2e84f0c3e245,1394118226805,1399118228524,1398118228160,5.000001719,2538.76148811275,1265232969,tertiary,,,0.0956147249648046,0.0960560419084705,,,,
car_roundabout_exit_005,roundabout_exit,car,car_2e84f0c3e245,1399118228524,1399118228524,1399118228524,0.0,2541.4617689390357,1265232969,tertiary,,,,,,,,
car_road_class_change_003,road_class_change,car,car_2e84f0c3e245,1399118228524,1400118228889,1400118228889,1.000000365,2551.819535004194,1265232975,unclassified,,,,,,tertiary,unclassified,
car_pedestrian_crossing_007,pedestrian_crossing,car,car_2e84f0c3e245,1386118224045,1406118230972,1403118229930,20.000006927,2556.7952710975355,1265232975,unclassified,,0.0,,,,,,
car_road_class_change_004,road_class_change,car,car_2e84f0c3e245,1405118230607,1406118230972,1406118230972,1.000000365,2565.379122468964,1265232969,tertiary,,,,,,unclassified,tertiary,
car_roundabout_entry_006,roundabout_entry,car,car_2e84f0c3e245,1406118230972,1406118230972,1406118230972,0.0,2565.379122468964,1265232969,tertiary,,,,,,,,
car_roundabout_exit_006,roundabout_exit,car,car_2e84f0c3e245,1406118230972,1406118230972,1406118230972,0.0,2565.379122468964,1265232969,tertiary,,,,,,,,
car_roundabout_traverse_006,roundabout_traverse,car,car_2e84f0c3e245,1406118230972,1406118230972,1406118230972,0.0,2565.379122468964,1265232969,tertiary,,,,,0.0,,,
motorcycle_straight_001,straight,motorcycle,motorcycle_5ab8604a14df,2181248203955,2196248197705,2189248200674,14.99999375,45.98688680288134,57854226,residential,,,0.0022367403237567,0.0022367403237567,,,,
motorcycle_junction_approach_001,junction_approach,motorcycle,motorcycle_5ab8604a14df,2190248200257,2195248198122,2190248200257,4.999997865,50.54140738383915,57854226,residential,26.248812876530675,,,,,,,
motorcycle_junction_crossing_001,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2190248200257,2205248193486,2196248197705,14.999993229,76.79022026037026,57854226,residential,,0.0,,,,,,
motorcycle_junction_approach_002,junction_approach,motorcycle,motorcycle_5ab8604a14df,2227248182028,2231248179841,2227248182028,3.999997813,248.04242042595843,56158484,residential,26.527635072264452,,,,,,,
motorcycle_junction_crossing_002,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2227248182028,2236248177080,2232248179268,8.999995052,283.0856980435624,847429440,unclassified,,9.166577675889513,,,,,,
motorcycle_road_class_change_001,road_class_change,motorcycle,motorcycle_5ab8604a14df,2231248179841,2232248179268,2232248179268,0.999999427,283.0856980435624,847429440,unclassified,,,,,,residential,unclassified,
motorcycle_straight_002,straight,motorcycle,motorcycle_5ab8604a14df,2232248179268,2277248151559,2255248165622,44.999972291,618.7593544043841,847429440,unclassified,,,0.0009758333938054516,0.010482503291624534,,,,
motorcycle_junction_approach_003,junction_approach,motorcycle,motorcycle_5ab8604a14df,2257248164372,2270248156143,2257248164372,12.999991771,639.6706587940341,847429440,unclassified,24.012758621071967,,,,,,,
motorcycle_stop_001,stop,motorcycle,motorcycle_5ab8604a14df,2262248161247,2267248158070,2262248161247,4.999996823,655.4805255779222,847429440,unclassified,,,,,,,,4.999996823
motorcycle_restart_001,restart,motorcycle,motorcycle_5ab8604a14df,2267248158070,2268248157445,2268248157445,0.999999375,655.6241399280291,847429440,unclassified,,,,,,,,
motorcycle_road_class_change_002,road_class_change,motorcycle,motorcycle_5ab8604a14df,2268248157445,2269248156768,2269248156768,0.999999323,671.9733207290026,23210664,primary,,,,,,unclassified,primary,
motorcycle_junction_crossing_003,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2257248164372,2272248154841,2271248155466,14.999990469,689.1018499499468,1340044076,primary,,3.1714429417797168,,,,,,
motorcycle_roundabout_entry_001,roundabout_entry,motorcycle,motorcycle_5ab8604a14df,2280248149580,2280248149580,2280248149580,0.0,828.8759305427898,23210725,primary,,,,,,,,
motorcycle_roundabout_exit_001,roundabout_exit,motorcycle,motorcycle_5ab8604a14df,2281248148903,2281248148903,2281248148903,0.0,841.4712000932295,23210725,primary,,,,,,,,
motorcycle_roundabout_traverse_001,roundabout_traverse,motorcycle,motorcycle_5ab8604a14df,2280248149580,2281248148903,2281248148903,0.999999323,841.4712000932295,23210725,primary,,,,,12.595269550439752,,,
motorcycle_road_class_change_003,road_class_change,motorcycle,motorcycle_5ab8604a14df,2281248148903,2282248148278,2282248148278,0.999999375,860.9145270448462,1396640493,secondary,,,,,,primary,secondary,
motorcycle_road_class_change_004,road_class_change,motorcycle,motorcycle_5ab8604a14df,2282248148278,2283248147601,2283248147601,0.999999323,878.2224528207096,23210725,primary,,,,,,secondary,primary,
motorcycle_roundabout_entry_002,roundabout_entry,motorcycle,motorcycle_5ab8604a14df,2283248147601,2283248147601,2283248147601,0.0,878.2224528207096,23210725,primary,,,,,,,,
motorcycle_curve_001,curve,motorcycle,motorcycle_5ab8604a14df,2283248147601,2290248142914,2285248146299,6.999995313,902.7630563774508,23210725,primary,,,0.028679623269683624,0.028823835902436548,,,,
motorcycle_roundabout_traverse_002,roundabout_traverse,motorcycle,motorcycle_5ab8604a14df,2283248147601,2290248142914,2287248144945,6.999995313,925.0596074832433,23210725,primary,,,,,80.75790455536549,,,
motorcycle_roundabout_exit_002,roundabout_exit,motorcycle,motorcycle_5ab8604a14df,2290248142914,2290248142914,2290248142914,0.0,958.9803573760751,23210725,primary,,,,,,,,
