bin_key,bin_size_m,domain,recording_id,osm_way_id,bin_index,direction,n_samples,mean_heading_deg,mean_match_quality,mean_snap_distance_m,first_timestamp_ns,last_timestamp_ns,road_lanes,road_maxspeed_kph,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,distance_to_traffic_signals_m,distance_to_crossing_m,distance_to_stop_m,distance_to_give_way_m,road_class,road_oneway,road_surface,road_is_roundabout,road_bridge,road_tunnel,road_is_service,against_oneway
w23447750_b2_A,50.0,motorcycle,motorcycle_5ab8604a14df,23447750,2,A,1,69.28454617044419,0.9822399752172998,1.149171228838984,2346248121195,2346248121195,2.0,50.0,1.5738037425333835e-06,11.020947605238293,73.57723385603339,1882.399921479822,63.92548583471713,10974.418434056555,5245.31975213292,primary,,asphalt,False,False,False,False,False
w23775265_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,23775265,0,A,3,68.35030684024808,0.7588767386874586,1.669998835302282,3126248151612,3128248151872,,,0.0013417109631044,11.419056155807183,28.34818863103581,435.34900605606464,67.82621629785801,387.19565314731176,75.04504245252322,residential,,,False,False,False,False,False
w245122745_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,245122745,0,A,5,97.93626075714847,0.9544873783508884,1.713463532743536,3019248142184,3023248142341,1.0,,0.0140831551953107,26.084981459625872,150.94462132516202,352.13508709591747,37.49070385837649,817.2394225832783,870.9178642626212,unclassified,True,asphalt,False,False,False,False,False
w245122745_b1_A,50.0,motorcycle,motorcycle_5ab8604a14df,245122745,1,A,4,102.09104594311115,0.9663589161416222,2.684384801665029,3024248142393,3027248142549,1.0,,0.0004061345824248,72.45730246491382,105.38532188002524,313.90465586299075,13.30781620802881,772.0541645817283,834.9463403274492,unclassified,True,asphalt,False,False,False,False,False
w245122745_b2_A,50.0,motorcycle,motorcycle_5ab8604a14df,245122745,2,A,4,95.11073041398488,0.9535286501741584,2.958191042067579,3028248142601,3031248142809,1.0,,0.0064943598305218,73.2433415875503,58.28439869151851,276.21433738659147,58.91252015413358,724.1353593708977,797.8164944160908,unclassified,True,asphalt,False,False,False,False,False
w245122745_b3_A,50.0,motorcycle,motorcycle_5ab8604a14df,245122745,3,A,6,82.61224096708388,0.9427367852554984,0.8250529333617806,3032248142862,3037248143226,1.0,,0.0234791801051142,34.67230338873819,12.627445252469125,256.59869750091354,104.19504016428571,677.0252318888362,755.726458635319,unclassified,True,asphalt,False,False,False,False,False
w245130023_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,245130023,0,A,4,70.15533357016277,0.9508313098123848,1.914170196221585,3015248141976,3018248142132,1.0,,0.0226107820556604,9.71967093955125,190.98694332460653,378.5701855046169,68.55317544420323,857.4692012091988,908.8671735205404,unclassified,True,asphalt,False,False,False,False,False
w25626901_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,25626901,0,A,4,61.752440297006245,0.9477494752500414,2.652130019484997,3042248143591,3045248143851,,,0.0070865237145977,14.429538852393089,15.65928866644967,255.92411811413496,151.67865899766846,627.8533211489553,706.4799392201629,unclassified,True,,False,False,False,False,False
w25626902_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,25626902,0,A,3,84.7872868877534,0.9841958327783414,0.1656984135820094,3049248144164,3051248144268,,,0.0052995611962969,20.596402311890305,91.33199845677292,267.41835219385166,113.83036318562756,553.3040162172035,635.3885310649683,unclassified,,asphalt,False,False,False,False,False
w25626902_b1_A,50.0,motorcycle,motorcycle_5ab8604a14df,25626902,1,A,4,99.03754343802775,0.9802709809255814,0.4045525145291706,3052248144320,3055248144580,,,0.0060937414846008,19.18384433728561,136.56283619594615,271.82966848516827,67.78753667266294,506.9635487686137,599.8896890071093,unclassified,,asphalt,False,False,False,False,False
w34720805_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,34720805,0,A,2,179.42401932659723,0.9940870291583336,0.2846469778419842,2442248136247,2443248136299,2.0,50.0,,32.64681775466681,85.57347178184335,583.3862883276398,140.50251486036944,9271.5178434648,3987.754421381336,primary,,asphalt,False,True,False,False,False
w34720805_b1_A,50.0,motorcycle,motorcycle_5ab8604a14df,34720805,1,A,1,179.42401932659723,0.9958762928695064,0.0824060336820806,2444248136403,2444248136403,2.0,50.0,,19.93773462498674,77.72231663500843,551.1117592302503,125.52568399471312,9249.734707382082,3947.5313461460464,primary,,asphalt,False,True,False,False,False
w34720810_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,34720810,0,A,2,179.48703693661002,0.9939666961714482,0.4384611559042809,2445248136455,2446248136507,2.0,50.0,,4.266950622909705,88.4442890959703,519.1180543523233,123.99109076746568,9227.428429452895,3906.037879060516,primary,,asphalt,False,False,False,False,False
w378031611_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031611,0,A,2,120.02775810949193,0.9820205695216522,0.8729904757952689,2600248133955,2601248133955,2.0,50.0,,5.674670202457694,189.0681071676161,1541.6332384083798,53.253038272249015,6949.363357951836,3008.014814726379,primary,,asphalt,False,True,False,False,False
w378031612_b0_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,0,A,3,120.08152878156656,0.9740421746022704,1.5430905397977723,2500248136455,2502248136455,2.0,70.0,5.370104972673412e-08,22.53397869263384,269.193525534519,923.6613807185876,159.26758869397324,8395.59325320104,3116.140822773119,primary,,asphalt,False,False,False,False,False
w378031612_b10_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,10,A,2,120.0806873854623,0.9867424101908316,0.9952988263964568,2529248135830,2530248135830,2.0,70.0,1.5930856278048285e-07,24.33377376224237,414.53190240378296,1423.714009030124,401.5656687592821,7895.737186230583,3001.156147006034,primary,,asphalt,False,False,False,False,False
w378031612_b11_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,11,A,3,120.0850002352344,0.9865543715725432,0.4919722778703648,2531248135830,2533248135830,2.0,70.0,3.9400524148849006e-06,6.264331290112213,461.9553406503564,1479.7993220964815,444.497402939847,7839.675551863355,2993.2236423849304,primary,,asphalt,False,False,False,False,False
w378031612_b12_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,12,A,2,120.07640733149474,0.9886613594836552,0.6112869203571607,2534248135778,2535248135778,2.0,70.0,3.3228509712618104e-06,11.542057531409402,503.2967168309706,1527.1473761021064,482.7187718435069,7792.34776293194,2987.273084496979,primary,,asphalt,False,False,False,False,False
w378031612_b13_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,13,A,3,120.08134342737264,0.9944328855349464,0.3021829578162826,2536248135778,2538248135726,2.0,70.0,6.129933819669013e-07,22.581356862263178,541.1469709548278,1569.5743727692052,518.3519994938714,7749.939099639824,2982.623907292824,primary,,asphalt,False,False,False,False,False
w378031612_b14_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,14,A,4,120.08134342737264,0.9938050680658008,0.1095437414901946,2539248135674,2542248135622,2.0,70.0,6.129933819669013e-07,80.35287234716961,585.6254046257402,1627.3458143767748,568.3570785823084,7692.193016230163,2977.2451917580424,primary,,asphalt,False,False,False,False,False
w378031612_b15_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,15,A,3,120.08134342737264,0.99593065476103,0.1093222043939147,2543248135570,2545248135518,2.0,70.0,3.281200471664049e-06,133.60808879914703,563.9292158108088,1680.6009670139176,615.6066391682971,7638.961567350146,2973.2239279479318,primary,,asphalt,False,False,False,False,False
w378031612_b16_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,16,A,4,120.08134342737264,0.9941665260588302,0.1268106139778257,2546248135518,2549248135466,2.0,70.0,4.615304016512623e-06,181.71536913448463,527.9958447068992,1730.2452943251524,658.7149980094348,7589.339656164943,2970.374369634721,primary,,asphalt,False,False,False,False,False
w378031612_b17_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,17,A,3,120.0636243143809,0.9947385871283352,0.1536424093312868,2550248135414,2552248135414,2.0,70.0,4.615304016512623e-06,169.3246646492546,494.282671360361,1779.7090414319805,643.7035279521197,7539.898473833474,2968.326823911173,primary,,asphalt,False,False,False,False,False
w378031612_b18_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,18,A,3,120.02818608670276,0.9920040042976184,0.4203308252611934,2553248135362,2555248135362,2.0,70.0,4.615304016512623e-06,123.18347855922084,465.4367389728133,1825.8502163174128,597.5649537836908,7493.7777147162,2967.2107440436607,primary,,asphalt,False,False,False,False,False
w378031612_b19_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,19,A,3,120.02818608670276,0.987735937793196,0.6542334153564812,2556248135309,2558248135309,2.0,70.0,1.9674114394525944e-06,76.68601160595394,439.3386758555213,1872.3476777814876,551.0704429573007,7447.300792353362,2966.813330356583,primary,,asphalt,False,False,False,False,False
w378031612_b1_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,1,A,2,120.08152878156656,0.9664931330577852,2.6855224818435075,2503248136403,2504248136403,2.0,70.0,5.370104972673412e-08,55.57007299588783,248.46406832614863,970.4855861322312,180.89789523440976,8348.78640395519,3102.123854681932,primary,,asphalt,False,False,False,False,False
w378031612_b20_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,20,A,4,120.02818608670276,0.9856962687271916,0.9866969571431692,2559248135257,2562248135153,2.0,70.0,6.434651509225801e-07,24.566931918459144,414.4925623726337,1924.466751640044,498.9553567575433,7395.205057194981,2967.259100226785,primary,,asphalt,False,False,False,False,False
w378031612_b21_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,21,A,3,120.02356839877922,0.985180671374129,1.2154289204336406,2563248135101,2565248135049,2.0,70.0,6.434651509225801e-07,28.01796399393371,394.3372830718219,1935.1039398501027,446.3753574456018,7342.643966784567,2968.596779448884,primary,,asphalt,False,False,False,False,False
w378031612_b22_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,22,A,3,119.98750693658548,0.9837431111262688,1.2000252262732507,2566248135049,2568248134945,2.0,70.0,2.9962563196893865e-05,15.563791836766825,381.7565895595743,1889.0171653606365,400.2939305477056,7296.578291195304,2970.5545945976387,primary,,asphalt,False,False,False,False,False
w378031612_b23_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,23,A,3,119.98749140960672,0.9796208487796546,1.53695452919484,2569248134893,2571248134789,2.0,70.0,7.586625621567641e-05,10.850293751507897,374.3535139975044,1841.199934920431,352.4829148500815,7248.781855480646,2973.3870539032264,primary,,asphalt,False,False,False,False,False
w378031612_b24_A,50.0,motorcycle,motorcycle_5ab8604a14df,378031612,24,A,1,120.1317063472024,0.9829759382854402,1.471514392247848,2572248134789,2572248134789,2.0,70.0,9.88181027250677e-05,11.297286535313155,372.43182939518096,1808.357146648552,319.6466042965216,7215.955396041668,2975.682248085556,primary,,asphalt,False,False,False,False,False
