bin_key,bin_size_m,domain_a,domain_b,osm_way_id,bin_index,paired,rejection_reason,centroid_distance_m,heading_difference_deg,direction_a,direction_b,n_samples_a,n_samples_b,match_quality_a,match_quality_b,pair_quality,first_timestamp_ns_a,first_timestamp_ns_b,last_timestamp_ns_a,last_timestamp_ns_b,road_lanes,road_maxspeed_kph,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,distance_to_traffic_signals_m,distance_to_crossing_m,distance_to_stop_m,distance_to_give_way_m,road_class,road_oneway,road_surface,road_is_roundabout,road_bridge,road_tunnel,road_is_service,against_oneway
w695751889_b0_B,20.0,car,motorcycle,695751889,0,False,only 1 samples in the sparser domain,0.21772621323992825,0.0,B,B,2,1,0.7004861074672202,0.976921770829951,0.8272364405347821,1209118152899,2955248137601,1210118153316,2955248137601,2.0,50.0,0.009084945944665307,8.422761909373213,88.59860979396097,977.4003888494849,27.14174943371916,1428.1236723327588,1382.8726120047788,secondary,,asphalt,False,False,False,False,False
w695751889_b1_B,20.0,car,motorcycle,695751889,1,False,only 1 samples in the sparser domain,0.5307007450555672,5.626024394834815,B,B,1,2,0.703973343555238,0.9749322478152721,0.8284481361161609,1208118152431,2953248137445,1208118152431,2954248137549,2.0,50.0,0.009084945944665307,6.683256735169683,107.99088856300511,995.3001334846045,9.300453738573811,1447.5298085065178,1401.7733849554515,secondary,,asphalt,False,False,False,False,False
w711388111_b0_A,20.0,car,motorcycle,711388111,0,False,only 1 samples in the sparser domain,3.134704756331534,0.0,A,A,1,3,0.686328837901093,0.9014745251744977,0.7865799153680779,1356118213680,3071248145934,1356118213680,3073248146143,,,,5.239642388383004,4.643309938584522,342.10320426187764,21.20943868761235,302.4655288401646,504.3294198236308,unclassified,True,asphalt,False,False,False,False,False
w711388114_b0_A,20.0,car,motorcycle,711388114,0,False,only 1 samples in the sparser domain,2.1399841059757057,0.0,A,A,2,1,0.3425215627993903,0.8950091617642428,0.5536785500696778,1363118216128,3077248146559,1364118216493,3077248146559,,,0.00012705299473320266,10.789627465565266,1.0607082075980305,357.9893354420017,6.865368206793637,282.1061766409372,493.22566557046304,unclassified,True,,False,False,False,False,False
w711388115_b0_B,20.0,car,motorcycle,711388115,0,False,only 1 samples in the sparser domain,7.864564287246949,0.0,B,B,1,1,0.3479615083290119,0.916044459743569,0.5645779059694128,1365118216805,3078248146664,1365118216805,3078248146664,,,,2.339716604544957,13.720980850907127,370.19479912537764,6.196714509818133,269.2476322413756,480.4063437144282,unclassified,,,False,False,False,False,False
w716932550_b1_A,20.0,car,motorcycle,716932550,1,True,,1.642528070656109,12.055486419309418,A,A,5,3,0.274513127682702,0.9009971002042584,0.49732839453435174,1318118199982,3039248143382,1322118201545,3041248143486,,,0.08278904129830487,16.44658371306635,1.1814876721879937,247.70193708565623,129.24510639590392,651.6645133141411,733.9408885074272,unclassified,True,asphalt,True,False,False,False,False
w717148552_b0_A,20.0,car,motorcycle,717148552,0,False,only 1 samples in the sparser domain,2.338262216032796,0.0,A,A,2,1,0.6397176284213786,0.9662458210081571,0.7862089322103929,1351118211858,3065248145361,1352118212222,3065248145361,2.0,,0.015034151557230672,10.006644974451934,45.55275823750641,325.4145452247553,59.51974906266207,334.3041859132466,508.69282905679796,unclassified,,asphalt,False,False,False,False,False
w717148552_b1_A,20.0,car,motorcycle,717148552,1,True,,1.4282904163395629,5.111736924259631,A,A,2,4,0.635177478157979,0.9425237292449464,0.7737375817716617,1353118212587,3066248145466,1354118212951,3069248145778,2.0,,0.015034151557230672,14.291159611358152,24.974024167285894,336.1910326112712,40.731814379780566,316.0757893051965,503.0190936517673,unclassified,,asphalt,False,False,False,False,False
w717148552_b2_A,20.0,car,motorcycle,717148552,2,False,only 1 samples in the sparser domain,1.5007377888119702,0.0,A,A,1,1,0.6893181986817821,0.8403888879785413,0.7611145475245852,1355118213316,3070248145882,1355118213316,3070248145882,2.0,,0.015034151557230672,3.332035280525541,12.719425869861217,340.50365103648255,29.31095349542894,307.1333110458808,502.6326558931432,unclassified,,asphalt,False,False,False,False,False
w717185016_b0_A,20.0,car,motorcycle,717185016,0,False,only 1 samples in the sparser domain,2.2858642855138775,0.0,A,A,2,1,0.5922834993593534,0.9909007233039082,0.7660901695728468,1346118210139,3061248145049,1347118210451,3061248145049,2.0,,,8.382899061097818,102.9283298920774,296.6571351762037,17.010680588636035,388.23205660401186,533.1417702642485,unclassified,,asphalt,False,False,False,False,False
