bin_key,osm_way_id,road_class,road_is_roundabout,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,road_lanes,road_maxspeed_kph,pair_quality,centroid_distance_m,heading_difference_deg,bin_key_car,position_uncertainty_m_car,speed_mps_car,acceleration_mps2_car,lateral_acceleration_mps2_car,curvature_1_per_m_car,head_angular_speed_rad_s_car,head_vibration_rms_msec2_car,head_yaw_rate_rad_s_car,head_abs_yaw_rate_rad_s_car,heart_rate_bpm_car,ppg_sqi_car,lux_car,gaze_foveal_entropy_car,gaze_road_relevant_mass_car,frames_in_bin_car,bin_key_moto,position_uncertainty_m_moto,speed_mps_moto,acceleration_mps2_moto,lateral_acceleration_mps2_moto,curvature_1_per_m_moto,head_angular_speed_rad_s_moto,head_vibration_rms_msec2_moto,head_yaw_rate_rad_s_moto,head_abs_yaw_rate_rad_s_moto,heart_rate_bpm_moto,ppg_sqi_moto,lux_moto,gaze_foveal_entropy_moto,gaze_road_relevant_mass_moto,frames_in_bin_moto,road_complexity_index_car,visual_demand_index_car,traffic_interaction_index_car,road_complexity_index_moto,visual_demand_index_moto,traffic_interaction_index_moto
w245122745_b2_A,245122745,unclassified,False,0.0064943598305218,73.2433415875503,58.28439869151851,1.0,,0.659148100027725,2.0820039309940923,0.0,w245122745_b2_A,3.1258208364033857,12.721499919891357,0.26374948726711445,1.8994098685604222,0.01173088401123139,0.19089008794064982,0.1270467243526445,0.10435690292160896,0.10544127648819174,97.14514699275054,0.9522228204948305,2226.5458984375,,,40,w245122745_b2_A,2.976312567338085,12.055500030517578,-0.6387500290612906,0.789617995600344,0.006378063569657378,0.18002655544305313,0.4954117827589653,0.1013588600875574,0.1013588600875574,120.655929996677,0.7823193052774395,6417.68212890625,,,60,0.12381226704598906,0.35872971447586044,0.5716289340390451,0.12381226704598906,0.2158411524211616,0.2760196161827157
w245122745_b3_A,245122745,unclassified,False,0.0234791801051142,34.67230338873819,12.627445252469125,1.0,,0.56543128326004,13.251910844217427,6.156280577112881,w245122745_b3_A,2.840404210579459,10.861000061035156,-0.9164992509661749,1.4414305112843677,0.012172115782214067,0.5288562770286079,0.20538022224232305,-0.14769552915431708,0.4004093678341,87.25190573176717,0.9522228204948305,1679.62939453125,,,33,w245122745_b3_A,1.3672465487398857,7.527500152587891,-1.3402499822449125,1.275790433154694,0.021593806781405173,0.36724916869713975,0.4776557414431757,0.015773782750052603,0.1933103691737671,107.93188800626807,0.7823193052774395,6756.10791015625,,,90,0.4210237366445422,1.0,0.0,0.4210237366445422,0.9459828937017649,0.0
w25626902_b0_A,25626902,unclassified,False,0.0052995611962969,20.596402311890305,91.33199845677292,,,0.5431876266796751,1.3079925180304943,0.1261432464635419,w25626902_b0_A,2.5329305752251807,9.887999534606934,-0.12499995442451706,0.5208098136714905,0.005210039684404683,0.12408029008040691,0.1272760415487212,-0.06685046062161655,0.06849436445825213,69.88868027337848,0.9578058335389432,2839.9921875,,,52,w25626902_b0_A,3.2709999857096386,13.387999534606934,-0.24999998700002468,0.9377447094539161,0.005210039684404683,0.17097114840822297,0.32291392470196695,-0.05852092520058401,0.0648988704795149,118.73741331471246,0.8116730918200268,4697.34033203125,,,45,0.47938175561920715,0.15011121492633678,0.3215916741513074,0.47938175561920715,0.1805263443138605,0.46053900692645383
w25626902_b1_A,25626902,unclassified,False,0.0060937414846008,19.18384433728561,136.56283619594615,,,0.6294600120667849,4.632061362200703,2.523241176971979,w25626902_b1_A,2.441194239878574,9.777000427246094,0.08349987801106007,0.5824991480184287,0.006093741484600881,0.0922736155276598,0.14769574651593392,-0.011930722155091458,0.05296726842404098,52.716740297968286,0.9342609665843277,2415.880126953125,,,30,w25626902_b1_A,3.4028580232831116,13.819000244140625,0.7225000338177203,1.164679605181688,0.006093741484600881,0.14128238950748873,0.2867940514220795,-0.04629805870834901,0.052017304631778935,128.66071769858482,0.8116730918200268,4629.4296875,,,60,0.4979320492035737,0.05079253812485014,0.4556953440174046,0.4979320492035737,0.0647443789653507,0.9221340986931136
w69488562_b0_B,69488562,unclassified,False,,18.909461169345587,58.09028673079974,,,0.5847094218045011,0.3465164069504919,0.0,w69488562_b0_B,2.515789251700592,10.083000183105469,0.8124997354903121,,,0.11517510763215857,0.13016564410485099,-0.010930595472939807,0.053922093799878675,55.36274704842719,0.9096054905959595,2854.80126953125,,,40,w69488562_b0_B,3.695081946416107,15.166000366210938,0.8889998493949989,,,0.20574390168197065,0.5127807998883351,0.013383365480540779,0.08108375375090944,122.49817160760286,0.7526252935932168,6514.7275390625,,,45,0.8421123168649376,0.12230412883913504,0.924576086403786,0.8421123168649376,0.31613516946127224,1.0
w695751889_b0_B,695751889,secondary,False,0.0090849459446653,7.263091793237526,101.5267956399904,2.0,50.0,0.8370361147409406,0.3616263883563377,0.9390929288566384,w695751889_b0_B,3.4705555668148844,13.874500274658203,0.013999926971505428,1.7489544280126084,0.009084945944665307,0.16895817762415188,0.13435996150303803,0.02777586082712647,0.07409030136603602,76.85022409294795,0.8553737821170798,3292.8701171875,,,40,w695751889_b0_B,3.33944099975,13.25,-0.49999994800007563,1.5949758224103028,0.009084945944665307,0.18371941326243182,0.3117113041713393,0.03900217633362455,0.06518455185856659,123.48427604635775,0.8683438114454812,6805.2744140625,,,45,0.737701311297687,0.29024571408936556,0.4109941162943649,0.737701311297687,0.23024277619768474,0.3418770506599185
w716932550_b0_A,716932550,unclassified,True,0.0826722909297471,18.004567481960358,1.0017460618285636,,,0.4906362147066074,2.2166094249291723,1.7771726282614964,w716932550_b0_A,1.8975678554365158,7.083000183105469,-0.3749998634935445,4.186520744394168,0.08344853975018919,0.3073496970746831,0.18516940523213785,0.06557115491240542,0.1748233757745751,76.84187889776749,0.8657375780376126,1999.0185546875,,,55,w716932550_b0_A,1.0858648180288961,4.665999889373779,0.8399998912603538,1.807458229967565,0.08264275934536719,0.310592609567349,0.3360224253690025,0.1028404495592489,0.19210031860149782,117.83023007489484,0.8132971749683539,6053.322265625,,,60,0.9263688634725162,0.7223833954298008,0.1607958361848375,0.9263688634725162,0.7250303174130674,0.9779051591741154
w717148552_b0_A,717148552,unclassified,False,0.0150341515572306,11.750553116735016,26.36138012941853,2.0,,0.7759646006107097,5.698580204571701,5.462115895459931,w717148552_b0_A,2.4011156044119684,9.583000183105469,-0.4029997308552824,1.380644658076742,0.015034151557230672,0.14915243505038123,0.18859471738072459,0.008145678349721543,0.07887047996887465,95.34671633616131,0.9618225543606338,2565.050048828125,,,50,w717148552_b0_A,1.5603227270406104,6.819000005722046,-1.777999825515668,0.7298557702514504,0.015034151557230672,0.3627976797716085,0.9876583692249468,-0.04471572541163801,0.1679848789099896,92.42620246423937,0.8177609000662664,7623.721435546875,,,90,0.7713608587284844,0.22840082860045247,0.1427867810929913,0.7713608587284844,0.9286227157890267,0.0
w717185016_b0_A,717185016,unclassified,False,,16.47519830633781,86.97987312002927,2.0,,0.7728054908565422,2.9006808527300136,0.0,w717185016_b0_A,2.7894957137872884,11.333000183105469,-0.22200005577430026,,,0.13926258731441415,0.2485868286269422,0.002253484481745901,0.04221522171432512,86.77577170528994,0.9618225543606338,3476.4013671875,,,50,w717185016_b0_A,3.9978258663361816,16.416000366210938,-1.2220000296662175,,,0.2660363349374753,0.9762588780020713,-0.0011278930698986282,0.050508329767381226,131.9300195153963,0.8177609000662664,7159.87451171875,,,45,0.9353479153110822,0.19751905285003557,0.2592028011415002,0.9353479153110822,0.5512671411717346,0.0
w717185017_b0_A,717185017,unclassified,False,3.881993478588824e-06,30.943944471407438,167.34950524490807,,,0.6864101500222242,9.37592339527382,0.0035072559724085,w717185017_b0_A,2.7196821011441727,11.124500274658203,0.3054999265759668,0.00048050446743037997,3.881993478588824e-06,0.07595939092457564,0.09570945948692622,-0.004812291753436429,0.03836715960715881,60.33248854341599,0.9342609665843277,2451.2607421875,,,40,w717185017_b0_A,4.0778546915662695,16.722000122070312,0.5830001314569699,0.001085503544784862,3.881993478588824e-06,0.12447481975429017,0.3241271498680643,0.009644416698115435,0.0443398080182681,118.73795141269942,0.8177609000662664,5448.06494140625,,,45,0.3504007201367523,0.0,0.5984821313027351,0.3504007201367523,0.0,0.8559207631113775
