recording_id,domain,grid_index,grid_timestamp_ns,selected_source_frame_index,selected_timestamp_ns,temporal_error_ms,interpolated,synthetic,reused_real_frame
motorcycle_5ab8604a14df,motorcycle,85,2183326479905,127,2183294162050,32.317855,False,False,False
motorcycle_5ab8604a14df,motorcycle,86,2183426479905,129,2183427485227,1.005322,False,False,False
motorcycle_5ab8604a14df,motorcycle,87,2183526479905,130,2183494146843,32.333062,False,False,False
motorcycle_5ab8604a14df,motorcycle,88,2183626479905,132,2183627469968,0.990063,False,False,False
motorcycle_5ab8604a14df,motorcycle,89,2183726479905,133,2183694131581,32.348324,False,False,False
motorcycle_5ab8604a14df,motorcycle,90,2183826479905,135,2183827454758,0.974853,False,False,False
motorcycle_5ab8604a14df,motorcycle,91,2183926479905,136,2183894116322,32.363583,False,False,False
motorcycle_5ab8604a14df,motorcycle,92,2184026479905,138,2184027439499,0.959594,False,False,False
motorcycle_5ab8604a14df,motorcycle,93,2184126479905,139,2184094101060,32.378845,False,False,False
motorcycle_5ab8604a14df,motorcycle,94,2184226479905,141,2184227424237,0.944332,False,False,False
motorcycle_5ab8604a14df,motorcycle,95,2184326479905,142,2184294085801,32.394104,False,False,False
motorcycle_5ab8604a14df,motorcycle,96,2184426479905,144,2184427408978,0.929073,False,False,False
motorcycle_5ab8604a14df,motorcycle,97,2184526479905,145,2184494070541,32.409364,False,False,False
motorcycle_5ab8604a14df,motorcycle,98,2184626479905,147,2184627393718,0.913813,False,False,False
motorcycle_5ab8604a14df,motorcycle,99,2184726479905,148,2184694055280,32.424625,False,False,False
motorcycle_5ab8604a14df,motorcycle,100,2184826479905,150,2184827365801,0.885896,False,False,False
motorcycle_5ab8604a14df,motorcycle,101,2184926479905,151,2184894021260,32.458645,False,False,False
motorcycle_5ab8604a14df,motorcycle,102,2185026479905,153,2185027350885,0.87098,False,False,False
motorcycle_5ab8604a14df,motorcycle,103,2185126479905,154,2185094012446,32.467459,False,False,False
motorcycle_5ab8604a14df,motorcycle,104,2185226479905,156,2185227335623,0.855718,False,False,False
motorcycle_5ab8604a14df,motorcycle,105,2185326479905,157,2185293997187,32.482718,False,False,False
motorcycle_5ab8604a14df,motorcycle,106,2185426479905,159,2185427320364,0.840459,False,False,False
motorcycle_5ab8604a14df,motorcycle,107,2185526479905,160,2185493981925,32.49798,False,False,False
motorcycle_5ab8604a14df,motorcycle,108,2185626479905,162,2185627305050,0.825145,False,False,False
motorcycle_5ab8604a14df,motorcycle,109,2185726479905,163,2185693966665,32.51324,False,False,False
motorcycle_5ab8604a14df,motorcycle,110,2185826479905,165,2185827289790,0.809885,False,False,False
motorcycle_5ab8604a14df,motorcycle,111,2185926479905,166,2185893951352,32.528553,False,False,False
motorcycle_5ab8604a14df,motorcycle,112,2186026479905,168,2186027274529,0.794624,False,False,False
motorcycle_5ab8604a14df,motorcycle,113,2186126479905,169,2186093936092,32.543813,False,False,False
motorcycle_5ab8604a14df,motorcycle,114,2186226479905,171,2186227259217,0.779312,False,False,False
motorcycle_5ab8604a14df,motorcycle,115,2186326479905,172,2186293920833,32.559072,False,False,False
motorcycle_5ab8604a14df,motorcycle,116,2186426479905,174,2186427243958,0.764053,False,False,False
motorcycle_5ab8604a14df,motorcycle,117,2186526479905,175,2186493905519,32.574386,False,False,False
