recording_id,source_frame_index,timestamp_ns,side,agreement_case,agreement_label,state_candidate,hand_tracking_valid,landmarks_in_frame,landmarks_total,tracking_dt_ms,proxy_available,proxy_mask_present,proxy_mask_present_before_plausibility,proxy_implausible_detections,proxy_score,proxy_area_fraction,proxy_raw_area_fraction,proxy_tracking_overlap,local_blur_variance,reference_blur_variance,proxy_persisted_frames
motorcycle_5ab8604a14df,14281,3126886628998,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.014002,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14281,3126886628998,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.014002,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14282,3126953290405,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.351595,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14282,3126953290405,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.351595,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14283,3127019951863,left,3,hand not visible and proxy absent,not_visible,False,0,0,-25.309863,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14283,3127019951863,right,3,hand not visible and proxy absent,not_visible,False,0,0,-25.309863,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14284,3127086613270,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.02873,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14284,3127086613270,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.02873,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14285,3127153274727,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.367273,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14285,3127153274727,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.367273,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14286,3127219923478,left,3,hand not visible and proxy absent,not_visible,False,0,0,-25.281478,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14286,3127219923478,right,3,hand not visible and proxy absent,not_visible,False,0,0,-25.281478,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14287,3127286578279,left,3,hand not visible and proxy absent,not_visible,False,0,0,8.063721,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14287,3127286578279,right,3,hand not visible and proxy absent,not_visible,False,0,0,8.063721,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14288,3127353220926,left,4,hand not visible but a false mask is present,uncertain,False,0,0,41.421074,True,True,True,0,0.27125170826911926,0.0009851741622574955,0.0009851741622574955,,,,1
motorcycle_5ab8604a14df,14288,3127353220926,right,4,hand not visible but a false mask is present,uncertain,False,0,0,41.421074,True,True,True,0,0.27125170826911926,0.0009851741622574955,0.0009851741622574955,,,,1
