recording_id,domain,stream_label,stream_id,index_before,index_after,t_before_ns,t_after_ns,dt_ms,periods,missing_estimate,over_1p5_periods,over_2_periods,over_250ms,non_monotonic
car_2e84f0c3e245,car,temperature,246-1,218,219,1067055665139,1067057318003,1.652864,11.680192212564483,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,219,220,1067057318003,1067058973160,1.655157,11.696396014415942,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,220,221,1067058973160,1067060627795,1.654635,11.692707229171083,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,228,229,1067061314463,1067061569045,0.254582,1.7990389371775846,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,229,230,1067061569045,1067061804827,0.235782,1.666186135255459,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,233,234,1067062129409,1068050268212,988.138803,6982.81960992156,6982,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,234,235,1068050268212,1068051924617,1.656405,11.705215179139284,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,235,236,1068051924617,1068053580764,1.656147,11.703391986432054,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,236,237,1068053580764,1068055234930,1.654166,11.68939297576143,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,237,238,1068055234930,1068056892065,1.657135,11.710373825171366,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,238,239,1068056892065,1068058548472,1.656407,11.705229312416083,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,239,240,1068058548472,1068060203576,1.655104,11.696021482580736,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,245,246,1068060622951,1068060870765,0.247814,1.7512119284856194,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,247,248,1068061006545,1068061256336,0.249791,1.765182672602643,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,252,253,1068061648680,1069049845972,988.197292,6983.232930534945,6982,True,True,True,False
