family,metric,unit,statistical_unit,paired,n_units,n_car,n_motorcycle,car_median,motorcycle_median,block_size_units,effective_sample_size,frames_are_independent_samples,skipped,difference_moto_minus_car,ci_low,ci_high,ci_method,ci_caveat,cliffs_delta,permutation_p,permutation_iterations,permutation_reason,is_place_property,permutation_p_fdr,significant_after_fdr
bin,blinks_per_minute,blinks/min,50 m route bin,True,42,42,42,24.409307346460587,45.378147447214495,8,6,False,False,18.00829961354333,10.19355630824365,30.294344972546916,"block bootstrap, block=8, 2000 iterations",,0.5391156462585034,0.00599880023995201,5000,,False,0.014930347263880558,True
bin,eye_closure_fraction,fraction,50 m route bin,True,42,42,42,0.0614247311827957,0.0763888888888889,8,6,False,False,0.017455621301775148,0.008333333333333331,0.044214528377298126,"block bootstrap, block=8, 2000 iterations",,0.2953514739229025,0.0673865226954609,5000,,False,0.1415116976604679,False
bin,pupil_diameter_mm,mm,50 m route bin,True,42,42,42,2.1576129947789013,2.1799489913973957,8,6,False,False,0.015046738553792238,0.0012445671018213034,0.034178607165813446,"block bootstrap, block=8, 2000 iterations",,0.1893424036281179,0.45810837832433515,5000,,False,0.6413517296540692,False
bin,pupil_light_adjusted_residual_mm,"mm, light-adjusted",50 m route bin,True,42,42,42,-0.021244604377112283,-0.06567036866242555,8,6,False,False,-0.039148667557855704,-0.0796801645270304,-0.015555094421263335,"block bootstrap, block=8, 2000 iterations",,-0.572562358276644,0.00639872025594881,5000,,False,0.014930347263880558,True
bin,lane_position_abs_offset,lane half-widths,50 m route bin,True,41,41,41,0.42105263157894735,0.400113652734869,8,6,False,False,0.00103912098062231,-0.061315734894616836,0.16393397641224905,"block bootstrap, block=8, 2000 iterations",,0.023200475907198096,0.8718256348730254,5000,,False,0.9813437312537493,False
bin,head_angular_speed_rad_s,rad/s,50 m route bin,True,42,42,42,0.12814445051230217,0.18200316243548148,8,6,False,False,0.050956247504689925,0.027015248845721568,0.06905125821490773,"block bootstrap, block=8, 2000 iterations",,0.5056689342403629,0.004799040191961607,5000,,False,0.014930347263880558,True
bin,head_abs_yaw_rate_rad_s,rad/s,50 m route bin,True,42,42,42,0.05403782585273245,0.05570640994757566,8,6,False,False,0.004111333742480818,-0.004352949641134595,0.013842663093433787,"block bootstrap, block=8, 2000 iterations",,0.06349206349206349,0.847630473905219,5000,,False,0.9813437312537493,False
bin,head_vibration_rms_msec2,m/s^2,50 m route bin,True,42,42,42,0.13503936522952875,0.3515736335586386,8,6,False,False,0.2245161586527523,0.2092965275651827,0.2534105730865479,"block bootstrap, block=8, 2000 iterations",,0.9875283446712018,0.0005998800239952009,5000,,False,0.008398320335932812,True
bin,speed_mps,m/s,50 m route bin,True,42,42,42,11.30525016784668,12.861000061035156,8,6,False,False,2.229249954223633,1.0105249404907228,4.569262504577599,"block bootstrap, block=8, 2000 iterations",,0.32653061224489793,0.45150969806038793,5000,,False,0.6413517296540692,False
bin,heart_rate_bpm,bpm,50 m route bin,True,41,41,41,79.61686580755611,121.53655112722862,8,6,False,False,41.31099920096888,39.814580899673985,45.56174551107591,"block bootstrap, block=8, 2000 iterations",,1.0,0.0015996800639872025,5000,,False,0.008398320335932814,True
bin,ibi_ms,ms,50 m route bin,True,41,41,41,753.6416664999999,493.678646,8,6,False,False,-254.16481699999997,-304.60824199999996,-235.5817784375003,"block bootstrap, block=8, 2000 iterations",,-1.0,0.0011997600479904018,5000,,False,0.008398320335932812,True
event,delta_heart_rate_bpm,bpm,road event,False,19,19,107,6.064672826420704,1.0695853689520192,10,2,False,False,-4.995087457468685,-12.498982261147987,2.1378991172839505,"two-sample block bootstrap, block=10, 2000 iterations",,-0.1982292179045745,0.44891021795640873,5000,,False,0.705430342502928,False
event,delta_ibi_ms,ms,road event,False,19,19,107,-46.65580750000004,-3.9121880000000147,10,2,False,False,42.74361950000002,19.449767500000064,114.55244849999997,"two-sample block bootstrap, block=10, 2000 iterations",,0.36251844564682734,0.14417116576684663,5000,,False,0.39647070585882827,False
event,delta_blink_rate_per_minute,blinks/min,road event,False,23,23,116,1.7143065909214386,-6.264000553812821e-07,10,3,False,False,-1.714307217321494,-33.0000008440306,10.666654611119831,"two-sample block bootstrap, block=10, 2000 iterations",,-0.1634182908545727,0.6326734653069386,5000,,False,0.8699260147970406,False
event,delta_mean_blink_duration_s,s,road event,False,15,15,104,-0.025185044444444415,0.0004630833333333431,10,2,False,False,0.02564812777777776,0.013889158333333335,0.05531701031746033,"two-sample block bootstrap, block=10, 2000 iterations",,0.4461538461538462,0.03719256148770246,5000,,False,0.2463507298540292,False
event,delta_eye_closure_fraction,fraction,road event,False,19,19,111,-0.015925925925925927,-0.01583333333333333,10,2,False,False,9.25925925925955e-05,-0.037095959595959606,0.03158730158730158,"two-sample block bootstrap, block=10, 2000 iterations",,0.09293504030346135,1.0,5000,,False,1.0,False
event,delta_pupil_light_adjusted_residual_mm,"mm, light-adjusted",road event,False,19,19,111,0.007211993551788825,0.020533302424145285,10,2,False,False,0.01332130887235646,-0.08273070270170264,0.0637894340167495,"two-sample block bootstrap, block=10, 2000 iterations",,-0.011853959222380275,1.0,5000,,False,1.0,False
event,delta_road_relevant_mass_percent,% foveal mass,road event,False,19,19,111,14.022712662475655,4.162317846473076,10,2,False,False,-9.860394816002579,-20.919924722537274,4.506783477271302,"two-sample block bootstrap, block=10, 2000 iterations",,-0.22996680891417734,0.26354729054189163,5000,,False,0.5572218889555421,False
event,delta_gaze_entropy,normalised entropy,road event,False,19,19,111,0.0483591818840261,-0.005050531839118633,10,2,False,False,-0.053409713723144736,-0.10118522180816703,-0.0368696708625425,"two-sample block bootstrap, block=10, 2000 iterations",,-0.29919393077287815,0.04479104179164167,5000,,False,0.2463507298540292,False
event,delta_head_angular_speed_rad_s,rad/s,road event,False,19,19,111,0.030883298589278574,0.02554566112211043,10,2,False,False,-0.005337637467168144,-0.019754106424773904,0.04947279116091646,"two-sample block bootstrap, block=10, 2000 iterations",,0.002370791844476055,0.7970405918816237,5000,,False,0.9741607234108733,False
event,delta_speed_mps,m/s,road event,False,19,19,115,-4.3470001220703125,-2.125499725341797,10,2,False,False,2.2215003967285156,-2.5979995727539062,3.568999767303467,"two-sample block bootstrap, block=10, 2000 iterations",,0.11578947368421053,0.3039392121575685,5000,,False,0.5572218889555421,False
event,delta_visual_lane_position_proxy_abs_offset,lane half-widths,road event,False,17,17,101,0.24135746606334846,-0.0030790394885071293,10,2,False,False,-0.2444365055518556,-0.32045146949177683,0.03831676359692504,"two-sample block bootstrap, block=10, 2000 iterations",,-0.26150262085032033,0.11377724455108978,5000,,False,0.39647070585882827,False
block,blinks_per_minute,blinks/min,time block,False,11,11,32,31.0,54.0,1,11,False,False,23.0,14.0,29.0,"two-sample block bootstrap, block=1, 2000 iterations",,0.8693181818181818,0.001999600079984003,5000,,False,0.007998400319936013,True
block,pupil_diameter_mm,mm,time block,False,13,13,34,2.1804191637784243,2.222212089691311,1,13,False,False,0.04179292591288686,-0.004989386070519686,0.10386219946667552,"two-sample block bootstrap, block=1, 2000 iterations",,0.2895927601809955,0.16856628674265148,5000,,False,0.3306005465573552,False
block,pupil_light_adjusted_residual_mm,"mm, light-adjusted",time block,False,13,13,34,-0.001994844904655308,-0.00989083195048813,1,13,False,False,-0.007895987045832822,-0.05851940704450989,0.03666253702992728,"two-sample block bootstrap, block=1, 2000 iterations",,-0.07239819004524888,0.6346730653869226,5000,,False,0.6346730653869226,False
block,lane_position_abs_offset,lane half-widths,time block,False,13,13,33,0.271523178807947,0.38752990430622014,1,13,False,False,0.11600672549827312,-0.14158528742841692,0.20839198293802952,"two-sample block bootstrap, block=1, 2000 iterations",,0.17016317016317017,0.2479504099180164,5000,,False,0.3306005465573552,False
