,recording_id,recording_id,bin_order,bin_order,bin_size_m,bin_size_m,samples,samples,observed_time_s,observed_time_s,road_relevant_mass_percent,road_relevant_mass_percent,interior_cockpit_mass_percent,interior_cockpit_mass_percent,vulnerable_road_user_mass_percent,vulnerable_road_user_mass_percent,sign_and_signal_mass_percent,sign_and_signal_mass_percent,road_relevant_top1_percent,road_relevant_top1_percent,foveal_entropy_mean,foveal_entropy_mean,top1_distribution_entropy,top1_distribution_entropy,semantic_transition_rate_per_s,semantic_transition_rate_per_s,fixation_time_percent,fixation_time_percent,scanpath_length_deg_per_s,scanpath_length_deg_per_s,blinks_per_minute,blinks_per_minute,eye_closure_fraction,eye_closure_fraction,pupil_diameter_mm,pupil_diameter_mm,pupil_light_adjusted_residual_mm,pupil_light_adjusted_residual_mm,lane_position_abs_offset,lane_position_abs_offset,lane_position_offset,lane_position_offset,head_angular_speed_rad_s,head_angular_speed_rad_s,head_abs_yaw_rate_rad_s,head_abs_yaw_rate_rad_s,head_vibration_rms_msec2,head_vibration_rms_msec2,speed_mps,speed_mps,heart_rate_bpm,heart_rate_bpm,ibi_ms,ibi_ms
domain,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle
bin_key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w862981944_b7_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,18,18,50.0,50.0,82,113,2.7333060000000002,3.766629,34.230982447963136,23.4708422115223,52.81744003051328,0.0,0.0,0.0012989672382258649,0.0,0.06434061450619688,23.170731707317074,14.15929203539823,0.22380564417592816,0.2842305846989873,0.43180427017069367,0.20508003257601265,5.12200243953659,7.4337026556106265,89.02439024390245,50.442477876106196,28.978858118850475,48.27392416727361,20.2247168286835,45.378147447214495,0.08888888888888889,0.058333333333333334,2.1650816779583693,2.1701239747926593,-0.005228641994075439,-0.10753899288221905,0.198992133726647,0.13757389301419068,-0.198992133726647,0.13757389301419068,0.09966833226546534,0.14978281808684074,0.047677964224635945,0.043391483999756286,0.11233742740411007,0.3389456302745557,11.055000305175781,12.472000122070312,87.02809961436654,128.63255797879404,689.481745,466.444895
w862981944_b6_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,19,19,50.0,50.0,120,107,3.99996,3.566631,61.24054898522897,28.9571936221044,6.204725350839457,0.0,0.0,0.0,0.014153875522153117,0.04477699531611584,65.0,28.037383177570096,0.22332731084671092,0.2731321964420048,0.37432132378381155,0.5256801855766065,4.250042500425004,10.373935515056084,87.5,56.074766355140184,36.488659355658164,68.06807305664583,0.0,60.504196596286,0.0,0.08333333333333333,2.1508080535568297,2.165173995308578,-0.02580145751207466,-0.1143336537880969,0.22034613761080624,0.4228855721393035,-0.22034613761080624,0.4164588528678304,0.14784775776138362,0.1870145687316712,0.05054274669309357,0.04612332763570404,0.16753291249000957,0.4649772734732912,11.27750015258789,11.791000366210938,89.02509497214871,118.57550837220124,673.972787,507.264817
w862981944_b5_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,20,20,50.0,50.0,173,99,5.766609,3.299967,43.17381224773151,38.89611123096148,5.292238550346256,0.6715395821258087,0.006046172232677931,0.000947799845658761,0.21581816193311565,0.06549058910066315,43.93063583815029,42.42424242424242,0.2838198387115306,0.2666792348833091,0.4666446295423219,0.5207583030552353,7.109897688572262,11.515266667818192,82.65895953757226,36.36363636363637,33.849105137716975,57.07181623748916,20.111734090696547,90.75629489442899,0.03333333333333333,0.11666666666666667,2.180802635848522,2.190501894801855,-0.006859085829299949,-0.05792343809555688,0.13725490196078433,0.3649025069637883,-0.030612244897959183,0.3649025069637883,0.11343480718163516,0.19739202347406412,0.05944979703136998,0.06619264111260148,0.08844402930475759,0.35110645400496676,8.708000183105469,11.416500091552734,93.05258281416997,115.4206953412589,644.796718,520.882708
w862981944_b4_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,21,21,50.0,50.0,137,110,4.5666210000000005,3.66663,29.917611360132597,36.86126985311268,4.479230655325284,0.0,9.942811887143452e-05,0.0,0.0,0.3183113286080406,24.087591240875913,40.909090909090914,0.2755502218880913,0.25653431517104464,0.35377247277150986,0.3564932221312882,6.788389051773729,9.000090000900009,79.56204379562044,52.72727272727272,37.118892836871716,53.142512549295475,36.241615602901426,45.378147447214495,0.06666666666666667,0.075,2.158903400413692,2.151571912690997,-0.02046641626668195,-0.03856328782601403,0.056,0.09225874867444327,0.014492753623188406,0.09225874867444327,0.17466303387684073,0.15286721715557064,0.07699167605767082,0.03935142266117907,0.21929526265219867,0.3578101370496215,9.277000427246094,12.235499858856201,79.61686580755611,113.077275677686,753.609168,530.6179420000001
w862981944_b3_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,22,22,50.0,50.0,116,160,3.8666280000000004,5.33328,21.160135459785437,22.647701060997594,0.0,0.0,0.0,1.1716729175450584,0.7811470362292,1.180180845242833,6.0344827586206895,12.5,0.2873637548877503,0.28901456248175317,0.1996702825414694,0.23049320822155378,2.3276094829913814,5.437554375543755,97.41379310344827,56.25,30.115237886740307,44.86289407818529,15.254238580867675,40.223461440030086,0.025210084033613446,0.10555555555555556,2.135281218215823,2.1313710603863,-0.047246462067641014,-0.06557353667371174,0.27388535031847133,0.27492447129909364,-0.10588235294117647,-0.23595505617977527,0.09448143765612221,0.14532215089666176,0.05142302904090939,0.03752842825224241,0.11168592487827403,0.3558446463511607,10.98550033569336,9.444000244140625,66.68284073962663,119.65145292460159,924.6053909999999,501.45651
w862981944_b2_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,23,23,50.0,50.0,138,97,4.599954,3.233301,17.078637573341727,51.39509830604025,0.0,0.05656248611540909,0.019277207464210352,0.15169910651211047,0.8628770300519284,0.0,9.420289855072463,46.39175257731958,0.2097948259893027,0.19262223259186284,0.23046804106145816,0.3800179734428919,6.087017391913049,10.206287629886608,82.6086956521739,45.36082474226804,39.99176942302751,67.60225442004972,24.16107706860095,60.504196596286,0.07333333333333333,0.1,2.2000568569637835,2.161793992854655,0.003943783548157522,-0.07201852160057098,0.108003108003108,0.3946151787235078,-0.108003108003108,-0.3946151787235078,0.12448841520057954,0.16964642933912244,0.05319178295688718,0.0851078806394819,0.14999797593588515,0.26066311562714095,11.722000122070312,10.333000183105469,72.79843934625664,120.12337960920976,825.5113015,499.49395849999996
w862981944_b1_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,24,24,50.0,50.0,115,137,3.833295,4.5666210000000005,64.52279430701327,33.07771392095665,0.3270346167107383,0.0,0.0,0.5187239683360351,0.007811176946948891,0.007155251245512056,76.52173913043478,29.197080291970803,0.22121619770372794,0.1757536484229857,0.20124846789756745,0.2919677603298905,5.739187826660875,9.197172263693439,81.73913043478261,33.57664233576642,46.06430593177461,66.980670872017,15.1260491490715,36.241608305932324,0.025,0.08,2.165328711271286,2.198549162130803,-0.022022792487542617,-0.10170295701457302,0.4766927683095348,0.4240769230769231,-0.4066011235955056,-0.35266613609231995,0.15289628004835834,0.1799115288940799,0.0514645762024723,0.05209723473962132,0.1367247387074904,0.25578481632561845,11.555000305175781,11.527000427246094,68.94717428153466,110.25817348250354,870.231458,544.177344
w862981944_b0_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,25,25,50.0,50.0,175,150,5.833275,4.99995,58.74198108694891,49.74219648368607,0.5808725362880801,0.0,0.191557386551113,0.03985636119652113,0.2928080804764836,0.5451727280193668,57.714285714285715,45.33333333333333,0.20445442729131053,0.29824947694028253,0.31759030882914524,0.39469065634452466,4.628617714748576,6.200062000620006,89.14285714285714,61.33333333333333,36.21533291353554,56.87510594554831,10.055867045348274,0.0,0.027777777777777776,0.0,2.160280477255583,2.178878814447671,-0.07733093338346558,-0.13710852891651035,0.8334676336287941,0.7721518987341772,-0.6264528559885636,-0.5122749590834698,0.14141851928116764,0.26619611563464296,0.06090951280348034,0.13404000577598854,0.12051756218105558,0.4145332487113586,10.026999950408936,10.416000366210938,75.7198363028003,110.25918676649836,792.39474,544.172343
w245122745_b0_A,car_2e84f0c3e245,motorcycle_5ab8604a14df,26,26,50.0,50.0,176,138,5.866608,4.599954,21.691137002063364,45.63227747114112,0.7039333431471976,0.0,0.06933825179348022,0.0,0.5955558714989817,5.842224924678809,19.886363636363637,39.1304347826087,0.13864070062289285,0.1916366228242727,0.28834233191622594,0.40266955913720587,4.090950000409094,5.8696239136304404,74.43181818181817,65.94202898550725,33.92469023458488,46.0571458428939,63.1579030470925,36.241608305932324,0.13744075829383887,0.06666666666666667,2.3056072532199323,2.365615335293114,0.01650553033392889,-0.30997802254309825,0.557498675145734,0.24183006535947713,-0.5247058823529411,-0.10434782608695652,0.22142295734181944,0.24302863989527665,0.11539151620634447,0.07267789495530996,0.1431561465161487,0.44754236366694855,5.83299994468689,9.666000366210938,90.59553609768753,106.45310017322421,662.2899735000001,563.628489
w245122745_b1_A,car_2e84f0c3e245,motorcycle_5ab8604a14df,27,27,50.0,50.0,112,112,3.733296,3.733296,8.761652778504848,18.288514893929797,0.0,0.0,0.0,0.8236671259320874,0.0,0.16623292916912843,2.6785714285714284,2.6785714285714284,0.10557672939732628,0.20958999800210595,0.06431177000420622,0.05185814678501462,1.6071589287321444,1.339299107276787,89.28571428571429,58.92857142857143,39.76164959309135,48.74718940618867,30.252105924723686,45.378147447214495,0.058333333333333334,0.06666666666666667,2.2465474321506917,2.2439942695200443,0.020395145325504977,-0.3284061666993391,0.7759209344115005,0.11001941328731665,-0.7759209344115005,-0.11001941328731665,0.1376712479908234,0.16212708708602874,0.06706133606822681,0.03722953994327325,0.138852334891073,0.3203391362556473,10.291000366210938,11.444000244140625,104.72243227465592,108.70417560530534,573.001614,551.956718
